"year","month","ts","time","spi1","spi2","spi3","spi4","spi5","spi6","spi7","spi8","spi9","spi10","spi11","spi12"
1881,1,1881.04,"1881-1-15 00:00:00",-1.29643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1881,2,1881.12,"1881-2-15 00:00:00",-0.0322707,-1.03676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1881,3,1881.21,"1881-3-15 00:00:00",1.35964,0.868495,0.073845,NA,NA,NA,NA,NA,NA,NA,NA,NA
1881,4,1881.29,"1881-4-15 00:00:00",-1.03019,0.505528,0.284993,-0.407502,NA,NA,NA,NA,NA,NA,NA,NA
1881,5,1881.38,"1881-5-15 00:00:00",-0.86177,-1.54922,-0.076171,-0.158625,-0.773337,NA,NA,NA,NA,NA,NA,NA
1881,6,1881.46,"1881-6-15 00:00:00",-0.862368,-1.31064,-1.79581,-0.527759,-0.511099,-1.05878,NA,NA,NA,NA,NA,NA
1881,7,1881.54,"1881-7-15 00:00:00",-0.545931,-0.995766,-1.53799,-1.76315,-0.791138,-0.761711,-1.22553,NA,NA,NA,NA,NA
1881,8,1881.62,"1881-8-15 00:00:00",1.34273,0.479746,0.03556,-0.334546,-0.695468,-0.0663473,-0.130224,-0.543438,NA,NA,NA,NA
1881,9,1881.71,"1881-9-15 00:00:00",0.402244,1.16018,0.532943,0.157207,-0.170875,-0.489945,0.041904,-0.0239614,-0.388664,NA,NA,NA
1881,10,1881.79,"1881-10-15 00:00:00",0.578489,0.619379,1.17715,0.662408,0.344799,0.0492347,-0.254766,0.211153,0.134892,-0.211483,NA,NA
1881,11,1881.88,"1881-11-15 00:00:00",-1.16121,-0.462583,-0.132274,0.524259,0.175553,-0.106289,-0.374069,-0.641825,-0.160396,-0.204467,-0.537595,NA
1881,12,1881.96,"1881-12-15 00:00:00",-0.786051,-1.59154,-0.796433,-0.586706,0.0799003,-0.182785,-0.441759,-0.700339,-0.956022,-0.441792,-0.470676,-0.785847
1882,1,1882.04,"1882-1-15 00:00:00",-1.48311,-1.56178,-2.18552,-1.40753,-1.13737,-0.454431,-0.630024,-0.877126,-1.11838,-1.33892,-0.802156,-0.818175
1882,2,1882.12,"1882-2-15 00:00:00",-0.61916,-1.66301,-2.18148,-2.32211,-1.66435,-1.35771,-0.689217,-0.835163,-1.08831,-1.33317,-1.5266,-0.971986
